timestamp,total_profit,float_profit,today_close_profit,history_close_profit,total_close_profit,pr_long,pr_short,pr_avg_price,ta_long,ta_short,ta_avg_price,eg_long,eg_short,eg_avg_price
2025-05-16 14:25:51.903806,,,0.00,0,0.00,0,70,6088.00,180,0,4866.00,35,0,4501.00
2025-05-16 14:40:01.394940,-55,0,-55.00,0,-55.00,0,0,0.00,0,0,0.00,0,0,0.00
